,police-firefighter,police-neighbors(yours),police-conservatives(political),police-liberals(political),police-healthcare,police-voting,police-immigration,police-religion,police-science,police-anger,police-fear,police-joy,police-love,police-sadness,police-trust,firefighter-neighbors(yours),firefighter-conservatives(political),firefighter-liberals(political),firefighter-healthcare,firefighter-voting,firefighter-immigration,firefighter-religion,firefighter-science,firefighter-anger,firefighter-fear,firefighter-joy,firefighter-love,firefighter-sadness,firefighter-trust,neighbors(yours)-conservatives(political),neighbors(yours)-liberals(political),neighbors(yours)-healthcare,neighbors(yours)-voting,neighbors(yours)-immigration,neighbors(yours)-religion,neighbors(yours)-science,neighbors(yours)-anger,neighbors(yours)-fear,neighbors(yours)-joy,neighbors(yours)-love,neighbors(yours)-sadness,neighbors(yours)-trust,conservatives(political)-liberals(political),conservatives(political)-healthcare,conservatives(political)-voting,conservatives(political)-immigration,conservatives(political)-religion,conservatives(political)-science,conservatives(political)-anger,conservatives(political)-fear,conservatives(political)-joy,conservatives(political)-love,conservatives(political)-sadness,conservatives(political)-trust,liberals(political)-healthcare,liberals(political)-voting,liberals(political)-immigration,liberals(political)-religion,liberals(political)-science,liberals(political)-anger,liberals(political)-fear,liberals(political)-joy,liberals(political)-love,liberals(political)-sadness,liberals(political)-trust,healthcare-voting,healthcare-immigration,healthcare-religion,healthcare-science,healthcare-anger,healthcare-fear,healthcare-joy,healthcare-love,healthcare-sadness,healthcare-trust,voting-immigration,voting-religion,voting-science,voting-anger,voting-fear,voting-joy,voting-love,voting-sadness,voting-trust,immigration-religion,immigration-science,immigration-anger,immigration-fear,immigration-joy,immigration-love,immigration-sadness,immigration-trust,religion-science,religion-anger,religion-fear,religion-joy,religion-love,religion-sadness,religion-trust,science-anger,science-fear,science-joy,science-love,science-sadness,science-trust,anger-fear,anger-joy,anger-love,anger-sadness,anger-trust,fear-joy,fear-love,fear-sadness,fear-trust,joy-love,joy-sadness,joy-trust,love-sadness,love-trust,sadness-trust
355,0,1,3,-4,-4,1,0,-4,-6,0,0,1,2,0,2,1,0,2,0,-2,-3,2,1,-1,-5,-6,-5,3,2,0,1,-1,1,-3,1,1,4,-4,4,2,-4,-5,2,-5,4,0,3,-5,-3,-5,-4,3,1,1,2,-5,1,1,3,-4,-4,-5,2,2,0,-5,2,1,1,3,2,1,3,1,1,4,-5,1,1,-6,0,5,-5,-3,-1,1,0,-1,2,-4,1,-4,-4,0,1,-5,-4,3,-5,1,2,0,1,4,2,-2,2,3,3,1,1,2,2,0,-5,1,2,1,1,1
356,7,5,6,3,-1,5,2,0,0,5,3,2,5,3,5,4,0,-1,0,0,0,0,-1,0,7,1,5,4,7,6,2,0,5,0,0,0,0,0,4,6,0,5,6,4,7,2,0,0,7,5,0,-2,-2,-2,6,7,7,2,4,-4,1,5,5,1,6,2,2,0,7,2,5,1,4,3,4,7,1,0,-1,3,6,6,3,7,0,0,3,3,3,4,6,6,-6,-2,3,2,3,3,2,0,3,3,4,2,4,7,-1,0,7,5,-7,0,7,7,7,3,5,1,7,6
357,7,-1,7,0,0,0,0,0,0,2,5,-7,-4,0,-1,0,0,0,0,-1,0,0,-6,0,0,0,-2,0,6,2,2,4,0,3,1,2,0,0,3,2,-2,3,0,-6,5,-7,5,-3,6,6,-4,-7,0,0,7,6,5,0,5,-4,0,0,7,-4,6,5,5,-4,6,0,-5,5,2,0,6,2,-5,0,-5,-6,0,2,0,1,1,-2,-6,6,5,6,0,5,-7,-2,2,0,7,0,3,-4,-7,0,0,-5,2,6,-7,-7,2,-7,-7,-7,2,-6,7,0,6,0,6,-6
358,7,7,4,-3,-3,-3,2,4,-5,3,4,3,4,2,5,4,-3,-3,2,-1,-4,3,-5,-4,-4,5,4,2,7,2,2,2,2,-1,3,-2,-2,-2,3,3,-1,3,-5,2,4,7,2,2,1,3,2,1,-4,2,2,3,7,1,2,-3,-2,-4,-4,2,-4,-4,3,-4,5,3,2,1,-1,4,-3,6,-5,-4,3,-2,2,-2,-3,5,-3,-4,5,5,-4,-5,4,2,-2,2,-1,6,4,-1,4,-2,2,-2,4,-3,3,5,3,3,3,4,2,3,2,2,2,2,6,3,7,-3
359,2,-6,2,-1,0,0,0,0,0,5,5,1,2,3,4,-6,0,0,-3,0,0,0,0,2,5,3,2,3,7,1,-3,2,3,-3,0,1,-2,4,-2,2,-3,3,-6,4,6,4,6,4,-1,0,5,5,-4,4,5,5,4,5,-2,4,4,2,0,2,-5,2,0,0,0,2,3,0,0,2,2,4,3,1,4,4,4,3,0,4,3,0,2,5,1,3,3,5,-5,-6,2,6,5,-1,4,-3,2,0,1,2,5,3,-6,-6,2,-6,-5,-6,3,2,5,-6,0,-6,3,3
360,5,4,7,-4,5,2,3,6,-6,4,6,-5,-4,2,-1,-1,3,-2,-1,-5,-5,-5,0,-6,0,-3,1,-1,3,6,-6,4,3,-2,4,-4,3,4,-2,4,-2,2,-3,2,1,-4,7,-3,7,5,-2,1,3,-2,0,4,2,-4,4,3,1,5,4,1,3,2,3,-4,4,-6,-1,1,3,1,2,1,-1,-2,1,1,-3,-4,-3,6,-1,-4,2,1,0,2,1,2,-5,2,6,1,4,2,3,-5,-1,-4,2,-4,-3,5,-7,-5,4,-6,-5,-6,6,-7,7,-6,7,-6,7,-4
361,7,3,0,0,0,2,3,0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0,4,4,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,4,4,2,3,3,0,3,1,1,3,4,7,0,3,3,1,0,0,0,3,3,0,7,0,2,4,3,0,4,7,7,1,7,7,1,0,4,3,0,1,3,0,0,0,4,0,4,2,3,3,4,3,3,0,3,0,3,3,2,7,0,0,7,0,0,0,7,0,7,3,7,0,7,0
362,5,0,7,-4,2,1,-2,4,0,7,7,-7,-6,5,-7,0,1,0,4,0,0,0,6,0,0,0,0,-1,5,0,2,0,0,0,2,0,0,0,0,0,0,3,-7,-5,2,3,7,-7,5,4,0,-5,1,-6,6,7,2,-1,3,0,3,0,-1,0,1,5,2,0,5,2,2,0,0,1,1,7,0,0,1,3,3,1,0,3,0,0,0,3,0,0,0,0,-7,5,7,-4,1,2,-7,0,0,0,-2,-3,3,7,-7,-7,3,0,-7,-7,4,-7,6,-7,4,-7,7,-5
363,0,3,-4,0,0,0,3,-5,0,5,1,0,0,1,-2,4,0,0,0,0,-5,0,0,0,0,6,5,0,6,0,6,6,3,0,0,0,0,0,2,5,0,6,0,-6,-5,6,6,-2,-6,6,-6,-6,2,-6,6,6,-3,0,5,-6,-6,6,0,0,6,0,0,0,6,-6,-6,6,6,0,6,0,0,6,1,0,-5,5,0,3,0,6,0,0,0,0,1,-6,0,0,5,2,0,6,-5,0,0,6,-5,0,6,6,0,0,-6,-6,-6,-6,-6,-6,6,0,6,0,6,-6
364,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,-5,0,0,-3,3,0,0,0,0,0,0,0,-7,-5,0,2,6,-5,5,6,-5,-3,0,0,3,0,2,-3,5,2,-4,2,3,0,0,0,0,0,4,0,0,0,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,6,7,-3,0,5,0,0,0,1,2,0,3,2,-6,-6,2,-3,-4,-4,2,-3,4,-7,4,-6,2,-3
365,1,4,3,1,4,4,1,2,1,2,-3,3,3,2,1,1,1,4,2,1,2,1,4,2,1,1,2,2,4,2,1,1,2,1,-3,2,2,2,1,2,1,3,1,3,3,0,2,1,3,0,4,4,0,1,1,4,0,0,3,4,4,1,0,2,4,3,3,3,1,4,3,1,4,3,1,3,1,1,0,1,0,2,4,4,4,1,3,2,3,3,2,3,3,0,1,1,3,1,2,1,0,3,0,1,2,3,2,2,3,3,3,4,3,4,3,1,1,1,1,4
366,-7,0,-7,0,0,-7,-7,-7,0,0,0,0,0,-7,3,0,-7,-7,0,0,-7,-7,-1,0,0,0,-7,-7,0,0,-7,-7,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,-7,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-7,-7,7,-7,0,-7,0,0,0,0,-7,-7,-7,-7,0,0,0,-7,0,-7,-7,-7,-7,0,-7,-7,-7,0,0,0,0,0,0,0,0,0,0,-7,-1,-7,0,-7,0,-7,0,0,0,0,0,-7,-7,3,7,0
367,7,0,5,0,4,0,5,-7,-6,0,5,0,4,0,7,-6,0,0,7,-6,-7,-7,0,-7,7,5,0,6,7,0,0,0,0,0,0,0,0,-4,0,0,-4,0,-7,-7,6,5,7,-7,7,3,-7,-7,0,-5,7,7,4,-7,7,-7,-6,4,0,-6,7,7,0,-7,7,-7,-7,7,7,-7,7,4,-7,-7,-6,-5,-5,0,0,7,-6,-6,0,5,0,0,7,0,-7,7,7,-7,-7,7,-7,-6,-6,0,4,-6,7,7,-6,-6,7,-6,-7,-7,7,0,7,-7,7,-7,7,-6
368,7,1,3,-5,0,0,4,0,0,-5,-5,5,4,-6,5,0,3,-5,0,0,0,0,0,-7,-5,4,6,-7,7,5,-4,0,5,-6,2,-2,-1,-6,2,5,-4,5,-7,-1,6,-2,6,-2,-7,-4,5,6,-4,5,4,5,7,-7,6,7,7,-7,-6,5,-7,0,-6,0,3,5,-2,-4,-1,4,-3,4,4,0,-7,-5,4,2,-5,4,-2,0,6,5,-4,-6,4,-6,-7,-5,-3,7,7,-5,7,2,3,-3,-6,-2,-5,5,-7,-7,6,-7,-7,-7,7,-7,7,-7,5,-7,7,-7
369,4,0,3,-2,0,0,0,0,0,3,4,0,0,2,-4,0,0,0,1,0,0,0,0,0,-2,0,0,0,6,0,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,2,5,2,-2,0,2,0,0,0,-3,4,0,3,-2,2,0,0,5,4,-3,0,0,0,0,6,0,0,3,0,0,5,0,0,0,0,0,2,0,-3,4,0,0,0,4,0,0,0,0,-4,1,3,2,0,0,0,-3,-3,2,1,-4,6,-2,-5,-6,-4,-4,-6,-4,-3,-4,5,-6,0,-5,5,-4
370,6,1,4,-3,0,0,-5,0,0,2,3,1,-3,3,1,6,-5,0,2,0,-3,-2,0,-3,-1,3,4,-5,5,3,4,0,0,1,3,0,0,0,0,3,-4,4,-6,-2,2,-4,5,0,0,5,0,0,0,-3,6,0,5,-3,1,0,1,0,0,-2,0,2,0,4,6,-3,-2,3,4,-1,1,-2,1,-2,0,2,1,0,-3,3,-2,-3,-2,5,0,3,3,-3,0,-4,-4,6,6,-1,5,-4,-2,1,1,-1,4,7,-6,-6,6,-6,5,-5,5,-4,6,-6,6,0,6,-4
371,4,0,3,0,2,5,-7,1,-7,0,-7,0,1,-7,0,0,-7,0,0,0,-7,-7,-7,-7,-7,-7,0,-7,6,0,0,0,0,0,7,-7,-7,-7,7,7,-7,6,7,0,3,-7,-7,0,0,-7,-7,-7,-7,-7,-7,6,0,-7,1,0,0,-7,-7,0,-7,4,-7,-7,0,-7,3,-7,-3,7,-7,-7,-7,-7,-7,-7,7,-7,-7,2,3,-7,0,0,-7,0,7,0,-7,-7,0,7,6,-7,6,-7,-7,0,2,-7,-7,5,-7,-7,4,0,-7,-7,4,-7,7,-7,5,-7,7,-7
372,5,-6,6,4,-7,3,5,-6,-5,5,7,-7,-7,-7,6,-6,-7,-7,4,-7,-7,-7,7,-7,3,4,-6,-7,5,-7,-7,-7,-7,-7,4,-7,-7,-7,-7,-7,-7,-7,7,-7,7,1,6,2,-7,2,-7,-7,-7,-6,2,7,1,3,4,-7,-7,4,7,-7,-7,-7,-7,2,7,-7,4,-7,-6,-7,5,6,-7,-7,-7,-7,-6,-7,-7,7,4,-7,-7,4,-7,-7,-7,2,7,6,7,3,-6,-7,4,-7,-7,-7,4,-7,7,7,7,4,7,5,7,7,7,7,7,7,6,5,7,3
373,2,-7,4,-1,2,0,-3,-5,-5,4,6,-7,-7,1,-7,-7,0,0,1,0,-5,0,2,-5,-1,0,-5,3,7,-2,0,-4,0,5,-5,-4,-5,-4,-3,-5,-4,-1,0,0,1,-5,6,-5,5,6,-4,-6,0,-7,5,7,3,-5,5,1,0,0,1,0,2,3,1,-6,6,0,1,-3,2,2,5,3,-5,5,4,1,2,0,0,5,2,1,2,5,-1,4,2,-1,-7,5,6,3,-1,-1,-5,-4,-3,0,3,0,6,1,-5,-1,-7,-3,-2,-2,-3,-7,7,-7,4,-2,7,-6
374,6,5,5,-3,5,6,5,-2,5,5,6,6,4,-4,5,-4,-3,5,6,5,-4,-3,6,-4,4,5,4,-4,5,5,-4,2,5,4,5,4,3,-6,5,4,-2,5,0,6,5,3,4,7,5,6,6,5,6,6,5,4,4,6,5,3,6,4,-3,-5,6,7,-1,2,5,6,-5,5,4,6,3,5,4,-3,4,6,-3,-5,5,4,5,3,6,5,4,3,4,4,4,-3,3,5,6,2,4,6,-4,6,4,-4,5,4,-4,-3,5,3,-5,5,6,5,6,3,4,4,3,4
375,6,-4,7,-3,0,4,-3,0,0,7,6,-6,-6,4,-6,-6,2,-3,0,0,0,0,0,0,0,2,0,0,5,2,5,0,5,0,-4,5,-4,-2,2,1,-3,3,3,-4,0,-5,7,-3,7,6,-6,-6,2,-6,5,7,5,-2,5,-4,0,4,7,-6,7,7,-1,0,5,1,-2,0,-1,-2,3,7,0,2,5,0,3,4,0,1,0,0,0,0,0,1,0,0,0,5,4,-3,0,-2,-2,-6,-6,5,5,0,6,7,0,0,2,0,0,0,7,0,7,0,3,0,7,0
376,6,-7,-1,3,1,3,4,2,0,6,7,-5,-6,5,-5,-7,0,0,0,3,0,-5,2,0,-2,1,0,-2,7,0,3,2,0,0,-4,0,0,0,0,2,0,2,-7,1,-3,3,5,-3,-5,1,3,3,4,5,4,7,5,-4,2,4,5,-4,-3,2,-6,3,4,0,6,4,5,4,-2,3,-5,7,5,3,5,5,-5,-3,3,5,2,0,5,6,-3,2,5,2,-6,6,3,3,6,4,7,1,5,-3,2,0,1,6,-3,-6,7,-5,-5,5,6,3,7,-6,6,-7,6,2
377,6,0,0,-2,0,0,-5,0,-3,1,5,-4,0,0,3,0,-4,0,0,0,0,-5,-3,0,2,2,2,-1,5,-5,2,0,0,0,2,0,0,0,0,0,0,0,4,-2,0,2,4,7,-4,1,-4,-5,1,2,6,-2,3,-1,0,3,-1,1,3,0,-1,4,1,0,6,-6,-2,0,0,-4,4,0,0,0,0,0,2,0,0,0,-6,-1,-2,4,0,3,0,-4,-4,2,3,1,5,-5,5,0,0,-5,1,-5,1,4,0,1,-1,2,-5,0,4,3,6,3,4,2,7,3
378,5,2,-2,-5,-6,-6,-5,-4,-5,-3,1,-4,-3,0,0,-6,-5,-5,-2,-5,-5,-5,-5,-2,-5,-4,-1,-4,1,-3,-4,-5,-3,-4,-2,-5,-3,2,-4,-2,-5,-5,7,-3,-4,3,-5,-3,-4,-5,-3,-5,-4,2,-4,-4,-2,-5,-3,-4,-5,-5,-5,-5,-5,-5,-5,-2,5,-5,-3,-5,-4,-4,2,-5,-5,-5,-3,-3,-2,-4,-5,-4,-5,-5,-4,-6,0,-5,-3,-4,-5,-3,-3,-5,3,-3,-3,-2,-4,-4,-4,-6,-4,7,2,2,5,-4,0,-7,1,-5,1,1,1,-5,2,-5
379,3,6,-2,0,-2,4,3,-2,0,5,6,5,1,1,6,-5,-5,-3,2,-3,-4,-6,-3,1,4,2,-2,-1,6,2,4,2,2,-4,-1,-3,2,2,3,4,-4,4,5,-2,0,2,0,0,1,0,-3,-4,0,0,4,4,4,4,-3,0,-2,-3,0,0,0,-2,6,-2,4,-2,2,4,2,1,5,4,-3,-3,5,4,3,3,-3,3,-2,-5,2,6,5,0,2,-2,-2,2,3,3,6,-1,5,3,4,0,4,-2,-3,3,4,5,6,3,6,7,6,5,3,6,5,6,7,5
380,0,2,-1,2,1,3,1,0,2,1,1,0,1,1,3,-2,-1,2,0,3,0,-1,0,0,-1,0,1,0,4,0,1,3,-2,3,-1,2,-1,0,3,-1,-2,2,1,2,1,2,0,2,0,1,1,-1,1,3,2,1,1,1,0,0,0,1,0,0,0,1,-1,0,5,1,0,3,2,0,4,2,3,3,-3,0,0,1,0,2,0,2,1,0,1,0,0,-1,-1,-2,0,2,2,1,1,1,2,2,2,-3,2,0,-2,1,2,0,2,2,0,-2,2,0,3,1,3,-2
381,-4,-5,6,-6,-2,5,5,-6,-6,6,6,-5,-5,6,-6,-5,1,-1,-4,0,-5,-4,4,-4,-4,3,1,-6,3,4,1,1,0,0,5,-5,-6,3,1,0,2,-5,-6,0,6,-5,5,-5,6,6,-6,-5,6,-6,5,5,6,-6,5,-5,-6,6,2,-1,3,4,-1,6,6,6,-5,3,6,6,6,5,1,-1,-2,-4,6,0,1,4,2,-3,4,6,-3,-5,6,-5,-4,2,-4,-5,-5,5,-5,-2,-3,6,3,-1,4,4,-6,-6,6,-6,-2,-5,6,-3,6,-5,6,-5,6,-3
382,3,2,3,1,2,1,3,2,1,4,4,1,1,1,0,-3,0,0,2,0,2,0,1,2,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,2,0,3,-1,1,3,2,0,1,0,0,1,0,0,2,2,4,-2,2,0,0,3,-1,0,1,2,2,1,1,2,0,2,1,3,2,4,2,0,0,0,2,1,0,1,5,1,0,1,3,1,0,1,2,0,3,2,2,7,0,3,0,3,2,2,0,1,6,0,4,4,1,2,0,4,5,5,3,3,2,5,5
383,6,2,7,-4,2,7,3,5,0,7,7,-2,-3,7,-5,1,5,-3,0,0,0,0,1,2,2,2,2,-1,3,2,-3,-1,4,0,3,2,-2,-2,1,2,-3,2,-7,-4,4,4,7,2,3,7,0,3,2,3,5,7,5,3,7,3,3,3,3,2,3,4,1,1,7,7,3,3,2,2,7,7,0,5,4,3,3,0,2,4,-5,1,2,5,-3,0,3,5,-7,7,5,3,-3,2,3,3,7,0,3,3,7,4,-7,1,3,-2,-2,-2,3,3,1,-7,3,3,7,2
384,4,4,5,1,-2,4,3,-4,-3,1,2,3,5,-4,4,5,5,4,3,5,-4,-4,4,-4,-5,5,5,2,4,2,-2,5,4,1,6,3,-3,-5,4,4,-5,5,-5,3,7,-2,4,-1,-2,-1,3,5,-3,5,0,5,4,-2,5,-3,1,3,0,-4,-3,3,-4,-3,5,-2,-2,4,3,3,5,5,5,5,-2,-5,4,4,4,5,-4,-3,3,3,0,-2,4,-2,2,-4,-4,6,5,-3,4,-4,-3,2,4,-4,4,5,-3,-3,2,-3,-3,-3,2,-4,7,-7,5,-3,5,-4
385,3,0,5,3,0,2,-4,-6,2,6,4,0,0,5,-3,0,0,0,0,0,0,0,0,0,-3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,2,-6,-4,5,-6,6,-6,6,7,-6,-6,6,-6,6,4,4,0,6,4,4,4,4,2,2,5,0,0,6,0,2,4,6,3,5,0,0,4,-6,4,4,1,2,4,0,2,-6,6,3,0,5,0,-6,4,4,-6,-6,6,-6,0,-6,2,3,-3,4,-6,-6,0,6,-6,0,0,6,0,0,-6,4,0,6,0
386,0,1,-3,-1,1,0,-1,-1,-4,-1,1,-2,-2,-2,1,-3,-5,-4,0,-3,0,-3,-2,0,5,-1,-3,-4,6,-4,-2,-4,-1,-4,4,-3,-2,-3,2,0,-3,-2,-5,-2,-1,6,-3,1,-2,-1,-3,-2,-2,2,2,-1,-3,-1,-2,-1,-2,-2,2,-2,-2,-2,-3,2,6,-2,-2,3,-3,-2,4,-2,0,-5,-3,-4,2,-3,1,0,-2,-4,-2,2,-4,-2,-3,-2,-2,-2,-3,4,-2,-3,-3,-4,-4,2,-3,-3,1,-3,-2,-6,-2,-2,-2,-2,-1,-1,-2,-5,3,-4,6,-2
387,6,5,0,0,0,0,3,0,0,3,5,1,0,2,5,4,4,0,0,0,0,0,0,0,3,5,3,0,6,3,-5,4,4,0,5,3,0,3,4,4,3,3,5,0,6,4,3,0,0,-5,2,0,-5,5,-5,6,7,-5,0,5,6,-6,6,6,-6,0,0,0,4,0,0,4,0,0,5,2,4,-5,2,4,4,0,0,5,0,0,2,3,0,0,0,0,0,4,3,4,4,0,4,0,-5,0,-4,0,5,5,4,5,6,0,5,5,6,4,5,4,5,4,5,4
388,7,0,0,0,0,0,0,-7,0,7,7,-7,-7,4,7,0,0,0,-7,-7,0,-7,7,-7,4,-7,0,4,5,0,0,0,0,7,7,0,0,0,0,0,0,0,7,0,7,-7,0,3,0,0,0,-7,0,0,0,7,5,-7,0,0,0,0,-7,-7,0,0,-7,-7,7,-7,0,0,-7,0,6,7,3,7,0,7,0,-7,0,7,0,0,0,7,0,0,0,0,-7,0,7,7,0,0,7,-7,-7,0,-7,-7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,0
389,4,-5,3,2,-2,1,3,-3,-4,3,-2,4,7,-3,5,-5,4,3,3,-4,4,-2,-2,5,5,6,5,-2,4,3,2,6,-4,3,2,4,-4,3,2,-4,-5,2,0,4,4,3,0,5,7,-3,7,4,-2,5,-2,-2,-3,2,2,6,-4,6,-5,-2,0,4,-1,-2,6,-2,3,3,7,4,7,5,3,-1,0,2,4,4,5,5,-2,-3,-4,5,-3,5,3,1,-4,-1,3,5,6,-4,4,-5,1,-3,6,-2,6,2,3,3,-2,-6,1,-3,-6,-6,-5,4,5,4,6,2
390,7,7,5,7,0,0,-7,0,0,4,7,0,0,0,2,7,0,0,0,-7,0,0,0,0,-7,0,-7,0,7,6,4,-7,4,0,0,0,0,-7,5,5,0,0,7,0,6,7,0,5,0,0,-7,0,3,-7,6,6,-6,0,-6,0,0,0,0,0,-6,6,-7,-7,7,0,6,0,0,0,7,-7,0,-7,-7,0,4,0,0,7,0,0,0,4,0,0,0,0,7,-6,7,7,7,0,7,0,0,-7,7,4,6,7,-7,-7,-7,-7,-7,-7,-7,-7,7,-7,4,-7,7,-7
391,-5,5,-5,4,2,0,6,0,0,-2,1,-2,4,-6,6,-5,1,-3,0,0,-6,-5,3,0,5,5,0,0,6,4,6,2,3,0,6,-3,-4,0,3,5,0,6,-6,2,6,-6,6,1,-3,-5,2,6,3,5,4,6,5,6,0,-6,-3,6,6,-5,6,3,0,3,6,-6,-5,3,3,0,6,0,0,4,3,0,6,6,0,6,0,0,-6,0,-5,0,-5,-2,-6,-5,1,3,6,-5,6,-6,6,1,6,-6,0,-6,-6,-6,-5,-6,-6,-3,-4,-5,4,-6,6,0,6,-5
392,5,-6,3,-7,-5,-6,-6,-7,-6,7,7,-7,-7,4,-7,-5,-6,-7,-7,-6,-7,-7,-7,-6,-7,-6,-5,-5,6,-6,5,-3,4,-7,4,-7,-3,2,2,6,-4,1,0,-7,1,-6,-7,-7,-6,6,-7,-7,4,-6,6,4,6,-5,-6,-4,1,4,6,-4,1,-6,-2,-7,3,-6,-7,-1,-6,-7,6,-6,0,-6,-5,-4,1,-7,-5,-7,-7,-7,4,2,-7,-7,4,-7,-6,-6,-7,6,2,-5,-6,-6,-5,-7,-6,-5,-7,-7,-7,-7,-6,-7,-6,-7,-6,-7,6,-5,5,-7,6,-7
393,5,-3,-4,3,0,0,4,-4,3,2,3,0,0,-6,4,-4,3,3,4,2,-3,4,4,-5,-5,4,3,0,4,2,3,3,3,-4,3,0,-6,0,4,4,-4,-5,0,3,5,0,3,3,-5,3,-3,-3,-5,3,4,2,2,4,3,0,-6,4,3,-6,3,0,-5,3,6,-6,0,4,5,-6,5,-2,-4,2,-3,-5,3,4,0,6,0,-3,0,0,4,-1,-4,2,-7,3,0,4,7,-6,4,-4,-3,3,3,-5,4,7,-7,-7,4,-6,-7,-4,-4,-4,7,-7,6,-7,6,-3
394,7,-7,-7,0,-7,-7,-7,-7,-7,0,7,0,2,-7,0,6,0,-7,-7,-7,-7,-7,2,-7,-7,-7,0,-7,7,-7,4,0,-7,0,7,-7,-7,-7,-7,7,-7,3,7,0,7,0,-7,-7,-7,0,0,3,-7,0,6,7,5,0,0,-7,-7,0,0,-7,0,-7,-7,-7,7,-7,-7,0,7,-7,7,-7,0,0,-7,-7,0,-7,-7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,7,7,-7,7,-7,0,0,2,-7,2,7,7,7,7,0,7,0,7,0,7,7,7,7,7,-7
395,7,0,-7,-7,-7,7,7,-7,-7,7,4,-7,-7,-7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,7,7,-7,-7,-7,-7,2,-7,-7,-7,0,0,-7,5,7,7,7,7,7,-7,7,3,-7,-7,-7,-5,7,7,6,-4,-7,-7,-7,0,-3,-7,0,7,7,-7,7,-7,-7,7,-7,0,7,7,-7,-7,7,7,7,7,-7,7,7,-7,4,7,-2,-6,-7,7,-7,4,7,-7,3,7,-7,-5,-2,-7,-7,-7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7
396,2,1,7,-3,0,0,2,-7,-7,7,7,-7,-7,5,-7,0,0,4,2,-4,0,0,0,-3,-4,1,1,-4,6,5,3,0,1,-7,5,-2,-1,-5,0,-7,0,-5,-5,-3,5,7,4,-3,7,4,-7,-5,6,-4,1,3,2,2,5,1,-5,5,0,-6,5,5,4,-7,4,2,0,1,0,0,-3,4,-7,3,5,1,2,2,2,5,-2,1,0,2,1,2,2,1,-7,4,7,-2,-2,3,-7,-2,6,6,3,-3,7,7,-6,-5,7,-7,-7,-3,7,-5,7,-6,6,-6,7,-5
397,6,3,0,0,0,0,0,0,0,0,-6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,-6,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6,0,0,4,6,0,4,0,0,0,0,0,1,1,-6,-4,4,-4,-4,-4,4,-4,5,-6,3,-4,4,-4
398,5,0,1,1,3,3,2,0,-5,4,3,-1,0,3,-3,-3,0,0,4,0,0,-5,-4,1,0,-4,0,0,1,0,-3,-3,1,0,0,-6,2,-3,0,0,-6,1,1,2,0,3,5,-4,0,0,-1,0,-5,2,1,0,2,-4,-1,0,1,-4,-3,1,1,2,-2,0,7,1,0,-2,-6,2,3,5,3,-2,2,-5,-6,0,1,4,0,-4,0,5,2,0,3,1,3,2,3,5,5,-3,7,-4,-4,0,0,3,4,4,0,-6,2,-4,0,-2,4,-7,4,0,2,-7,7,0
399,4,-4,0,0,0,-6,0,0,0,0,5,0,0,0,-5,-5,-5,0,0,0,0,0,0,0,-6,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-6,0,-6,3,0,-7,0,0,0,0,0,0,0,0,0,0,-5,0,4,0,0,0,-5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-4,5,0,5,0
400,5,3,-5,-4,0,4,3,0,0,4,6,-6,0,0,-3,0,0,0,-4,0,0,0,0,0,5,4,0,0,6,5,3,0,0,0,0,0,0,0,0,0,0,0,-6,5,6,5,4,0,0,-6,5,5,0,-3,4,5,3,0,4,-6,-5,4,-6,0,6,4,5,0,5,-3,3,0,5,0,4,4,4,0,3,4,5,-6,4,4,0,0,4,4,0,0,3,0,0,-6,4,6,6,0,5,0,2,0,5,-6,3,-6,-6,-6,0,-6,0,-6,6,-4,6,-6,6,-6,5,-4
